alexandra_daddario, Alexandra Daddario, 32, New York, Actress
cas, Victor de Castro, 23, Burgos, Student
chris_pratt, Chris Pratt, 38, Minnesota, Actor
dwayne_the_rock_johnson, Dwayne (The Rock) Johnson, 46, California, Actor
elizabeth_olsen, Elizabeth Olsen, 29, Los Angeles, Actress
gaben, Gabe Newell (Gaben), 55, Washington, Developer and business man
gal_gadot, Gal Gadot, 33, Petaj Tikva, Actress
john_cena, John Cena, 41, Massachusetts, Actor
katheryn_winnick, Katheryn Winnick, 40, Toronto, Actress
madds_mikkelsen, Madds Mikkelsen, 52, Osterbro, Actor
natalie_dormer, Natalie Dormer, 36, Reading, Actress
robert_downey_jr, Robert Downey Jr., 53, New York, Actor
shohreh_aghdashloo, Shohreh Aghdashloo, 65, Teheran, Actress
stan_lee, Stanley Lieber (Stan lee), 95, Nueva York, Writer
will_smith, Will Smith, 49, Filadelfia, Actor
cas_abii, victorcas, Default Age, Burgos, Default Job
cesar_sala_juntas, cesar, Default Age, burgos, Default Job
